account,date,sentiment_num,rol_trades_7,rol_leverage_7,rol_winrate_7,rol_size_7,rol_trades_14,rol_leverage_14,rol_winrate_14,rol_pnl_7,target_next_profitable
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,0.0,1019.5,17.976721325112813,0.31920005860376527,8205.058211434012,1019.5,17.976721325112813,0.31920005860376527,-16955.4886855,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,1.0,1247.3333333333333,12.400885291120423,0.32221479733889696,12018.427750664365,1247.3333333333333,12.400885291120423,0.32221479733889696,25773.173545333335,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,-1.0,1869.75,9.706395035372696,0.33960062168627064,14130.896722149999,1869.75,9.706395035372696,0.33960062168627064,75321.97288225,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,0.0,1516.8,7.596981914012443,0.3707281163966355,14823.156253910474,1516.8,7.596981914012443,0.3707281163966355,61795.173943199996,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,1.0,223.0,17928.77319603027,0.0,3261.5788789237668,223.0,17928.77319603027,0.0,0.0,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,-1.0,3000.0,10677.160277746843,0.2078068201488662,15783.011971052674,3000.0,10677.160277746843,0.2078068201488662,201750.8241045,1
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,0.0,4078.6666666666665,8417.802274974803,0.27259817516018064,24239.906480808688,4078.6666666666665,8417.802274974803,0.27259817516018064,280140.85173866665,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,1.0,250.0,8029.4614,1.0,525.47136,250.0,8029.4614,1.0,101539.274031,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,-1.0,411.0,3166.260908387972,0.6346153846153846,708.2712132167833,411.0,3166.260908387972,0.6346153846153846,54259.307451,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,0.0,325.0,1775.5317462673627,0.4601139601139601,661.7168000965918,325.0,1775.5317462673627,0.4601139601139601,36243.738924,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,1.0,202.0,-227.47579405940596,0.5148514851485149,16311.138465346536,202.0,-227.47579405940596,0.5148514851485149,327545.999992,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,-1.0,567.0,15.400811542861433,0.47738282411932176,12204.608594261252,567.0,15.400811542861433,0.47738282411932176,212907.5975325,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,0.0,530.0,4198.150979625065,0.34457100555323206,8598.57062716832,530.0,4198.150979625065,0.34457100555323206,143118.52197166666,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,1.0,419.0,-19861.19324582339,0.0286396181384248,2305.200429594272,419.0,-19861.19324582339,0.0286396181384248,51737.579418,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,-1.0,679.0,-20951.584555986832,0.21240287616186415,2214.3003479174768,679.0,-20951.584555986832,0.21240287616186415,196841.5070795,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,0.0,476.6666666666667,-27567.027730380112,0.3916019174412428,1899.3136578709102,476.6666666666667,-27567.027730380112,0.3916019174412428,134337.168053,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,0.0,3041.0,119895.14799123972,0.8240710292666886,3677.809105557383,3041.0,119895.14799123972,0.8240710292666886,187842.08419,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.0,1523.5,59955.77399561986,0.49536884796667763,1856.3628861120249,1523.5,59955.77399561986,0.49536884796667763,93921.123455,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,1.0,1354.3333333333333,55114.33275820346,0.6038679458885462,1923.0390402164157,1354.3333333333333,55114.33275820346,0.6038679458885462,75122.85959566665,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,-1.0,2237.0,17984.74729412544,0.6525427199077096,2024.855107183806,2237.0,17984.74729412544,0.6525427199077096,90394.155675,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,0.0,1978.6,-12042.082863112348,0.6871135410055327,1846.8142402443996,1978.6,-12042.082863112348,0.6871135410055327,75819.0813422,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,-1.0,1554.0,-456.7599555563836,0.4510939510939511,3643.361287001287,1554.0,-456.7599555563836,0.4510939510939511,14781.443047,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-06-15,0.0,779.5,-228.6573987781918,0.6255469755469756,20091.781643500646,779.5,-228.6573987781918,0.6255469755469756,7450.2215235,0
